,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24
J1,DOP,AL,AMS,N,NO,AL,DO,N,NO,AMS,PM,AM,DO,AM
J2,PM,AL,AM,AM,AMS,DO,N,NO,PM,AMS,PM,PM,AL,DO
J3,DO,PM,PM,PM,AMS,N,NO,PM,N,NO,AMS,DO,AL,PM
J4,DOP,AMS,N,NO,PM,PM,DO,DO,AMS,PM,AM,PM,N,NO
J5,NO,PM,PM,AMS,AM,DO,PM,AM,AM,AM,AL,AL,DO,N
J6,DOP,N,NO,AM,PM,DOP,DO,PM,PM,N,NO,AMS,AM,DO
J7,DOP,AL,AMS,PM,PM,DO,AM,AMS,AM,PM,PM,N,NO,DO
J8,DOP,PM,AM,PM,AM,AM,DO,AMS,AM,AM,N,NO,AL,DO
J9,AM,AM,PM,AM,N,NO,DO,AM,AMS,AM,AL,PM,DO,DOP
J10,N,NO,AM,AMS,AM,DOP,DO,PM,PM,PM,AM,AL,PM,DO
